Rank,City,Province,GDP,Population
1,Shanghai,Shanghai,38700.58,2428.14
2,Beijing,Beijing,36102.6,2153.6
3,Shenzhen,Guangdong,27670.24,1343.88
4,Guangzhou,Guangdong,25019.11,1530.59
5,Chongqing,Chongqing,25002.79,3124.32
6,Suzhou,Jiangsu,20170.5,1074.99
7,Chengdu,Sichuan,17716.7,1658.1
8,Hangzhou,Zhejiang,16106,1036
9,Wuhan,Hubei,15616.1,1121.2
10,Nanjing,Jiangsu,14817.95,850.55
11,Tianjin,Tianjin,14083.73,1561.83
12,Ningbo,Zhejiang,12408.7,854.2
13,Qingtao,Shandong,12400.56,949.98
14,Wuxi,Jiangsu,12370.48,659.15
15,Changsha,Hunan,12142.52,839.45
16,Zhengzhou,Henan,12003.04,1035.2
17,Foshan,Guangdong,10816.47,815.86
18,Quanzhou,Fujian,10158.66,874
19,Jinan,Shandong,10140.91,890.87
20,Hefei,Anhui,10045.72,818.9
21,Nantong,Jiangsu,10036.3,731.8
22,Xi'an,Shanxi,10020.02,1020.35
23,Fuzhou,Fujian,10020.02,780
24,Dongguan,Guangdong,9650.19,846.45
25,Yantai,Shandong,7816.42,713.8
26,Changzhou,Jiangsu,7805.3,473.6
27,Xuzhou,Jiangsu,7319.77,882.56
28,Tangshan,Hebei,7210.9,796.4
29,Dalian,Liaoning,7030.4,699
30,Wenzhou,Zhejiang,6870.9,930
31,Kunming,Yunan,6733.79,695
32,Changchun,Jilin,6638.03,753.8
33,Shenyang,Liaoning,6571.6,832
34,Xiamen,Fujian,6384.02,429
35,Yangzhou,Jiangsu,6048.33,454.9
36,Shaoxing,Zhejiang,6001,505.7
37,Yancheng,Jiangsu,5953.38,720.89
38,Shijiazhuang,Hebei,5935.1,1103.12
39,Weifang,Shandong,5872.2,937.3
40,Nanchang,Jiangxi,5745.51,560.06
41,Jiaxing,Zhejiang,5509.52,480
42,Taizhou,Jiangsu,5312.8,463.61
43,Taizhou,Zhejiang,5262.7,615
44,Harbin,Heilongjiang,5183.8,1076.3
45,Luoyang,Henan,5128.36,717.02
46,Linyi,Shandong,4805.25,1066.71
47,Nanning,Guangxi,4726.34,734.48
48,Jinhua,Zhejiang,4703.95,562.4
49,Xiangyang,Hubei,4601.97,568
50,Zhangzhou,Fujian,4545.61,516
